Post_URL,Username,Komentar
https://www.instagram.com/p/DO6EIPujOYw/,amalatyas,@dahniiar iya sumpah ini pelayanan kesehatan harusnya punya skala prioritas malah diribetkan dengan hal administrasi. Harus ini lah itu lah. Pdhl administrasi bisa dilakukan sejalan aja dengan pengobatan. Suka ga tega liat yg sudah lanjut usia dan sakit sakitan akses terbatas tp pelayanan bpjs yg tidak jelas dilempar kesana kesini kurang ini itu🥹
https://www.instagram.com/p/DO6EIPujOYw/,mpuscin1980,@nopiaasrr siip betul
https://www.instagram.com/p/DO6EIPujOYw/,munyanti.yanti,Kak.. kalau bpbu dan PB Pemda daerah .tapi kita sudah beda sudah diluar kota...apa bisa digunakan kak...di kota yg lain...🙏
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Bisa Sahabat. Apabila peserta JKN-KIS membutuhkan pelayanan kesehatan ketika sedang berada di luar wilayah tempat faskes tingkat I terdaftar (misalnya dikarenakan tugas/cuti/liburan), maka peserta dapat dilayani di faskes tingkat I yang terdekat dengan ketentuan maksimal kunjungan 3 kali dalam 1 bulan di satu wilayah sebagai berikut : 1. Silakan datang ke faskes terdekat untuk dilakukan pemeriksaan, 2. Jika faskes tingkat I tidak bisa menangani karena keterbatasan alat atau Dokter Spesialis, maka akan dibuatkan rujukan ke rumah sakit. (1/2)"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"3. Jika dalam keadaan emergency bisa langsung melalui ruang UGD/IGD rumah sakit (pihak yang menentukan emergency atau tidaknya kasus tersebut tetap dari dokter penanggungjawab di rumah sakit). 4. Jika diluar wilayah dalam waktu lama atau menetap, silakan melakukan pengajuan sebagai peserta PBPU dan BP PEMDA di domisili yang baru melalui Dinas Sosial sesuai domisili KTP melampirkan KTP dan KK. Selain itu, Sahabat bisa juga beralih menjadi peserta PBPU/Mandiri dengan memilih faskes tingkat 1 terdekat dari domisili saat ini. Terima kasih. :) -ara (2/2)"
https://www.instagram.com/p/DO6EIPujOYw/,ikahayatulkamilah,"Mohon maaf min mau tanya.. BPJS non aktif / ga di bayar selama 8 tahun satu KK ada 4 orang dari musibah covid sampai sekarang, apakah masih bisa di aktifkan tanpa membayar tunggakan nya.. Di karenakan belum mampu untuk bayar tunggakan nya.. Bagaimana prosedur nya.. Mohon penjelasan nya.. Terimakasih🙏🙏"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Apabila saat ini Sahabat terkendala masalah finasial, Sahabat dapat mendaftarkan kepesertaan PBI (Penerima Bantuan Iuran) dengan pengajuan secara langsung melalui Kantor Dinas Sosial sesuai domisili KTP dengan melampirkan KTP/ Akta Kelahiran dan KK. Informasi dan persyaratan lainnya dapat konfirmasi Dinas Sosial. Terima kasih. :) -ivan"
https://www.instagram.com/p/DO6EIPujOYw/,ikahayatulkamilah,"@bpjskesehatan_ri baik ka, terimakasih infonya.. Tapi ini bisa online ga ka?"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon maaf tidak bisa Sahabat. Pengajuan kepesertaan PBI dilakukan melalui Dinas Sosial sesuai domisili secara langsung dengan melampirkan KTP dan KK. Terima kasih. :) -ara
https://www.instagram.com/p/DO6EIPujOYw/,ikahayatulkamilah,"@bpjskesehatan_ri baik ka, terimakasih infonya 🙏"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Terima kasih kembali, semoga sehat selalu. :) -aita"
https://www.instagram.com/p/DO6EIPujOYw/,rennaaaaaaaaaaaaaaaa,@bpjskesehatan_ri untuk prosesnya berapa lama ya min sprti ituuu
https://www.instagram.com/p/DO6EIPujOYw/,rennaaaaaaaaaaaaaaaa,@ikahayatulkamilah kakanya total brapa tunggakan kak? Case nya sama sprti saya tp pas saya sudah resign kerja bukan pas covid
https://www.instagram.com/p/DO6EIPujOYw/,messy_2205,layanan pandawa mau daftar bpjs knpa bufring mulu yah ? dan gagal terus
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon dapat mencoba chat Layanan Pandawa dapat diakses selama 24 jam di nomor 0811 8 165 165 secara berkala pada interval waktu yang berbeda dan menggunakan jaringan internet stabil ya Sahabat. Terima kasih. :) -toro
https://www.instagram.com/p/DO6EIPujOYw/,messy_2205,"@bpjskesehatan_ri pandawa sedang ada perbaikan atau gimana yah, ? kira"" kapan normalnya min?"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon maaf atas ketidaknyamanannya. Saat ini belum ada informasi kendala pada layanan WA Pandawa. Silakan dapat dicoba kembali secara berkala. Pastikan jaringan yang digunakan stabil. Layanan Pandawa dapat diakses 24 jam di nomor 0811 8 165 165. Terima kasih. :) -esco
https://www.instagram.com/p/DO6EIPujOYw/,putraaand_,@messy_2205 sama ka
https://www.instagram.com/p/DO6EIPujOYw/,jh_vnk22,"Gw kesini cuma mau liat masalah gini jir, dari kmarin ngirim data format tidak valid mulu, padahal udah sesuai, jaringan juga bagus , bahkan website pengaduan aja kgak bisa dikirim² ,pengen bet komen toxic di fp ini"
https://www.instagram.com/p/DO6EIPujOYw/,madamichapamelia,Min... Jaringan kalian error... Ini ratusan pasien numplek semua di RS Hermina Bekasi.. Fix it!!
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon maaf atas ketidaknyamanannya. Silakan dicoba kembali secara berkala akses layanan JKN. Terima kasih. :)-juno
https://www.instagram.com/p/DO6EIPujOYw/,julie_hogan07,Bpjs mobile ini bagaimana ya sering banget log out sendiri terus kalau mau login lagi susah banget padahal nik nya benar pasword benar eh keterangan nik salah mulu sampe coba nik suami juga masih salah tolong donk ribet banget masalah login nya .... N kenapa juga harus Ter log out terus pasti alasannya sedang perbaikan kah apa kah tapi apa harus Terl log out sendiri
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Silakan dicoba secara berkala. Pastikan kembali NIK dan kata sandi yang diinput sudah benar dan sesuai dengan data NIK padan DUKCAPIL. Terima kasih. :) -yuka
https://www.instagram.com/p/DO6EIPujOYw/,julie_hogan07,@bpjskesehatan_ri sudah sesuai semua sudah bekali2 coba sampe harus nunggu beberapa waktu coba lagi g bisa juga lama baru bisa dg nik n pasword yang sama jadi bagimana ini aplikasinya
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Silakan mengakses Aplikasi MJKN secara berkala. Pastikan kembali NIK dan kata sandi yang diinput sudah benar dan sesuai dengan data NIK padan DUKCAPIL. Apabila masih tetap mengalami kendala silakan melakukan pembaruan kata sandi dengan pilih ""Masuk"" pada Aplikasi Mobile JKN kemudian pilih ""Lupa Kata Sandi"" dan untuk pengiriman kode OTP pilih menggunakan SMS atau Email. Pastikan nomor handphone aktif dan memiliki pulsa jika memilih menggunakan SMS. Terima kasih. :) -yuka"
https://www.instagram.com/p/DO6EIPujOYw/,id_hantaranku,Kak mau tanya klo mau pindah dari pbi aktif ke bpjs mandiri itu bisa ga kak lewat mobile jkn
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Tidak bisa ya Sahabat. Jika saat ini terdaftar aktif di segmen PBPU dan BP Pemerintah Daerah / PBI JK serta ingin peralihan menjadi peserta PBPU/Mandiri. Silakan Sahabat dapat konfirmasi pengajuan peralihan menjadi peserta PBPU/Mandiri melalui Kantor Cabang BPJS Kesehatan terdekat dengan melampirkan KK, KTP dan buku rekening tabungan (BNI, BCA, Mandiri, BRI, BSI atau BTN). Terima kasih. :) -ziko"
https://www.instagram.com/p/DO6EIPujOYw/,id_hantaranku,@bpjskesehatan_ri tpi dia paskes lampung apa bisa dia langsung dateng ke kantor bpjs yg ada di bali karna dia kerja di bali kak
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Bisa Sahabat. Silakan dapat melalui Kantor Cabang BPJS Kesehatan terdekat dengan membawa KK, KTP dan buku rekening tabungan (BNI, BCA, Mandiri, BRI, BSI atau BTN). Terima kasih. :) -esa"
https://www.instagram.com/p/DO6EIPujOYw/,kloooponn,Ya allah aplikasinya.. mau reset pass aja ga bisa... kasian para lansia... buatlah sistem yg mudah diakses plis
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Silakan klik lupa password dan reset password. Mohon dipastikan nomor HP yang digunakan untuk pengiriman kode OTP tersedia pulsa reguler minimal Rp 5.000. Terima kasih. :) -riko
https://www.instagram.com/p/DO6EIPujOYw/,_bu_bedah,"Nik anak saya ko tidak ada di JKN mobile ya ka, p, padahal sudah te aerdaftar , gimana caranya ka supaya ada di JKN mobile ?"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Jika yang dimaksud perubahan identitas NIK dan Nama pada bayi baru lahir, perubahan identitas nama bayi nyonya (NIK dan Nama) untuk peserta PBPU/Mandiri dan PPU dapat melalui Mobile JKN pada menu Perubahan Data Peserta dengan syarat NIK dan KK sudah online di Dukcapil Pusat. Jika kendala, dapat melalui kanal dengan melampirkan KK dan Akta Kelahiran sesuai jenis kepesertaan sebagai berikut: a. PBPU DAN BP PEMDA, melalui Care Center 165, Layanan Pandawa dan Kantor Cabang BPJS Kesehatan; b. PBI JK, melalui Care Center 165, Layanan Pandawa dan Kantor Cabang BPJS Kesehatan; c. PPU PNS atau PBPU/Mandiri, melalui Care Center 165, Layanan Pandawa atau Kantor Cabang BPJS Kesehatan; d. PPU Swasta, melalui Care Center 165 atau HRD Perusahaan. Layanan Pandawa dapat diakses selama 24 jam pada nomor 0811 8 165 165. Terima kasih. :) -rio"
https://www.instagram.com/p/DO6EIPujOYw/,_bu_bedah,"@bpjskesehatan_ri sudah terdaftar ka, sudah 12 tahun usia nya,, tapi namanya tidak muncul di JKN mobile saya"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Aplikasi Mobile JKN hanya dapat menampilkan anggota keluarga dalam 1 KK dengan jenis kepesertaan yang sama. Jika jenis kepesertaan berbeda maka akun juga harus terpisah. Silakan daftar akun Aplikasi Mobile JKN menggunakan NIK peserta yang bersangkutan untuk cek status dan jenis kepesertaannya. Terima kasih. :) -rey
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,Min buat bpjs bayi 8 bulan secara online gmn cara nya??
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Cara pendaftaran bayi baru lahir dari peserta BPJS Kesehatan dan belum memiliki NIK dapat dilakukan melalui Rumah Sakit tempat bersalin sebelum pulang. Jika sudah pulang, silakan dapat melakukan pendaftaran dengan ketentuan sebagai berikut: a. Peserta PBPU Mandiri melalui Kantor Cabang BPJS Kesehatan atau Layanan Pandawa (didaftarkan pada bulan kelahiran); b. Peserta PPU Swasta melalui Layanan Pandawa atau HRD Perusahaan; c. Peserta PPU PNS/TNI/Polri/PPPK bisa pengajuan melalui Layanan Pandawa, Satuan Kerja atau melalui Kantor Cabang BPJS Kesehatan; d. PBPU dan BP PEMDA melalui Kantor Cabang BPJS Kesehatan; e. PBI JK berusia (0-11 Bulan) melalui Layanan Pandawa. Layanan Pandawa dapat diakses selama 24 jam pada nomor 0811 8 165 165. Terima kasih. :) -ade"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,Min gmn cara nya daftar mobile jkn untuk bayi krna minta foto verifikasi wajah..
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Silakan dapat diwakilkan oleh ibu kandung bayi. Namun, apabila gagal Sahabat dapat memilih metode verifikasi lainnya SMS/Email. Terima kasih. :) -aita"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,@bpjskesehatan_ri min knp gk bsa daftar akun baru mobile jkn nya??
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Jika peserta belum terdaftar sebagai Pengguna Mobile, silakan dapat mengikuti langkah-langkah beri kut: 1. Klik menu Daftar dan pilih Pendaftaran Pengguna Mobile, 2. Input data-data tertera di Aplikasi Mobile JKN seperti: - Nomor NIK peserta - Nomor Handphone - Input password - Konfirmasi password Setelah pendaftaran Pengguna Mobile berhasil, silakan login menggunakan Nomor JKN-KIS dan password yang sudah dibuat, input Kode Captcha, klik Login. Pastikan nomor HP yang digunakan memiliki pulsa reguler untuk pengiriman kode OTP. Terima kasih. :) -tian"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,"Min bpjs anak saya uda aktif tp saya merasa blm mendaftarkan nya,, saya cek melalui bpjs pandawa trnyata uda aktif,, itu siapa yg aktifkan yaa?? Krna umur nya masi 8 bln"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Jika terdaftar sebagai peserta PBPU dan BP PEMDA/ PBI JK, maka dapat didaftarkan oleh Dinas Sosial. Terima kasih. :) -nanda"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,@bpjskesehatan_ri jd gk bsa daftar mobile jkn nya juga yaa??
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Bisa Sahabat. Jika belum memiliki akun Aplikasi Mobile JKN, silakan pilih menu ""Daftar"" (warna orange) untuk pendaftaran akun Aplikasi Mobile JKN dan dipastikan nomor HP/email yang terdaftar aktif ya. Terima kasih. :) -ami"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,"@bpjskesehatan_ri td uda si tahap masukkan no hp tp katanya ""permintaan anda blm dapat di proses"" gtu.. Masalah nya dmn yaa min??"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon maaf untuk saat ini belum ada informasi maintenance sistem aplikasi Mobile JKN. Mohon mencoba kembali secara berkala dengan memastikan koneksi internet stabil. Terima kasih. :) -ara
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,"@bpjskesehatan_ri uda coba dari smlm juga jawaban nya sama ""permintaan anda blm dapat di proses"".. Saya mau daftar mobile jkn jd gk bsa min"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Mohon maaf atas kendalanya. Silakan bisa akses kembali secara berkala dengan interval waktu yang berbeda. Jika permintaan belum diizinkan, bisa mencoba dengan perangkat yang berbeda. Terima kasih. :) -oscar"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,"@bpjskesehatan_ri perangkat yg brbeda contoh nya apa?? Krna saya prlu mengaktifkan mobile jkn anak saya,, krna kn kalau ambil nomor antrian RS harus dari mobile jkn dulu klw blm daftar saya gk bsa bawak anak saya k RS buat kontrol"
https://www.instagram.com/p/DO6EIPujOYw/,ichaniah4215,@bpjskesehatan_ri min saya kn mau buat bpjs anak tp knp nomor pandawa tidak bsa di telfon yaa??
https://www.instagram.com/p/DO6EIPujOYw/,rahmadijh94,Muter terus gabis submit
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Mohon maaf atas ketidaknyamanannya. Silakan dapat dicoba kembali secara berkala atau pengajuan melalui Care Center 165 serta Aplikasi Mobile JKN. Terima kasih. :) -nanda
https://www.instagram.com/p/DO6EIPujOYw/,humans_struggle,"Min POLI LAYANAN FASKES KENAPA LIBUR SIH,SEKARANG KAN BUKAN TANGGAL MERAH,MASA LAYANAN KESEHATAN LIBUR PANJANG??? KAMIS,JUMAT,SABTU,MINGGU! PADAHAL TANGGAL MERAH CUMA KAMIS DAN MINGGU AJA! SAYA MAU BEROBAT GAK BISA WOY.....!!!!!!"
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,Salam Sehat Sahabat. Silakan bisa akses faskes 1 terdaftar sesuai jam operasional pelayanan. Terima kasih. :) -oscar
https://www.instagram.com/p/DO6EIPujOYw/,bpjskesehatan_ri,"Salam Sehat Sahabat. Apabila kondisi peserta emergency, silakan bisa datang langsung ke Rumah Sakit setempat ya Sahabat. Terima kasih. :) -oscar"
https://www.instagram.com/p/DO6EIPujOYw/,humans_struggle,"@bpjskesehatan_ri tidak semua rumah sakit itu dekat dengan rumah pasien min,YANG SAYA MAU TANYAKAN KENAPA SEMUA KLINIK LIBUR HARI INI,DAN BESOK? PADAHAL BUKAN TANGGAL MERAH!!! ORANG SAKIT BANYAK YANG MAU BEROBAT!!!!"
